CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
402,37,3,148194.77,2,1,0,19807.02,1
735,49,2,153438.97,3,1,1,20164.24,0
570,24,6,164558.07,3,0,1,5456.18,1
406,69,7,148842.33,1,1,1,193701.38,1
371,58,3,136207.89,2,1,1,6024.49,0
320,50,1,47501.29,1,0,1,25103.28,1
421,57,9,80044.58,1,1,1,66346.33,1
766,56,2,95542.98,1,1,0,162448.9,0
514,35,0,16578.26,1,1,1,192609.26,1
630,57,7,105674.02,2,0,1,159052.64,1
758,18,2,87267.17,1,0,1,139659.25,1
387,28,9,160421.85,2,0,0,106653.63,0
672,45,6,195580.13,2,1,1,21907.52,1
399,42,9,111201.01,3,1,0,191843.3,1
430,67,4,64537.28,2,0,1,152886.52,1
608,40,9,8680.16,3,1,0,129595.13,1
643,48,4,184928.67,2,1,0,153011.99,0
791,47,6,183823.14,2,1,1,146200.15,0
713,59,8,50598.03,2,1,1,129260.16,1
685,52,4,139082.22,3,1,0,196212.48,1
491,24,0,15086.91,3,0,1,181155.94,0
576,33,9,33243.09,1,1,0,131099.66,0
460,43,9,43361.82,3,0,0,140169.17,1
759,65,0,58898.79,3,1,0,15061.18,0
613,69,1,199166.28,3,0,0,135633.91,1
321,66,5,139385.01,3,1,0,13612.26,0
552,19,8,76840.37,1,0,1,119711.43,0
860,18,7,147420.14,3,1,0,199873.93,0
774,65,4,183050.87,2,0,0,113382.28,0
358,29,0,191740.48,2,1,1,97275.97,1
810,22,6,11572.78,3,0,0,66006.7,0
775,54,4,78904.36,3,1,1,28501.9,0
489,49,5,21351.21,2,0,1,147549.62,1
862,26,6,67132.01,2,0,1,42556.81,0
866,58,2,33935.98,1,1,0,27479.99,0
543,52,9,129369.67,2,1,0,87243.72,1
804,36,2,77653.68,2,0,0,160091.66,0
430,65,4,45878.95,3,1,1,150287.59,1
784,33,5,53187.58,2,0,0,15702.11,1
320,20,8,72069.02,1,0,1,93753.02,1
466,37,4,51989.97,2,0,0,106874.74,1
573,41,0,90648.17,3,1,1,130686.6,0
687,50,3,6463.19,3,0,0,131782.63,1
615,41,4,55952.7,2,0,0,76115.96,0
313,69,9,82241.34,3,1,0,114332.05,0
541,28,9,120556.38,1,1,1,98807.07,0
645,66,4,54191.53,1,1,1,177574.68,0
864,25,6,26637.03,2,1,0,108401.7,0
639,53,3,15240.08,2,0,0,91001.27,0
391,55,0,188106.37,2,0,1,83874.66,0
666,57,4,83327.81,3,0,1,116623.41,0
754,37,6,116232.52,1,0,1,161775.51,0
727,52,9,183835.31,1,1,0,109988.29,0
808,65,9,16549.68,3,0,1,134022.76,1
334,42,5,175332.3,1,0,0,148881.87,1
505,52,4,110317.57,2,1,1,106432.78,1
380,42,3,32966.85,2,0,0,88229.33,0
861,46,1,82251.02,2,0,1,175949.75,1
687,35,3,155520.46,1,0,1,86413.69,1
301,63,9,96074.02,2,0,1,95078.86,1
689,35,9,197057.21,3,0,1,198116.56,0
865,19,2,75347.79,3,0,1,5046.32,0
405,52,9,149915.66,1,1,0,41167.22,0
776,33,0,78597.89,3,1,1,79872.96,0
701,58,7,165832.84,3,0,1,186855.03,1
855,53,4,113816.29,1,0,1,18655.79,1
461,50,3,12702.37,2,1,0,6849.66,1
501,21,7,7364.37,2,0,1,15273.35,1
569,50,6,26770.42,2,0,0,22265.97,0
570,31,1,2734.39,1,0,1,12331.37,0
755,38,0,15071.81,3,1,1,98557.36,0
761,65,3,138342.88,2,0,0,118247.66,1
551,37,7,106869.26,2,1,1,57978.96,0
595,25,1,149982.15,1,0,0,82666.04,0
637,24,2,182633.15,2,1,0,22881.37,1
352,20,0,117029.91,1,1,1,70592.24,1
516,34,0,145224.17,3,0,0,106891.24,0
487,50,2,151416.24,1,1,1,147793.0,0
679,65,4,75570.11,1,0,1,5652.54,0
792,29,2,48216.97,1,1,0,96125.6,0
340,68,0,41009.07,1,0,0,62915.56,0
456,39,0,50288.49,3,0,0,171300.26,0
314,39,7,54946.36,3,1,0,144532.9,1
364,63,9,41445.53,2,0,1,119876.16,1
820,47,1,175644.13,3,0,1,59066.8,1
643,55,2,151399.83,3,1,0,182516.12,0
428,55,1,9379.29,2,0,1,13794.63,1
771,62,2,53734.5,3,0,1,26346.18,0
362,68,6,4436.95,1,1,1,81367.88,0
438,25,0,99633.04,1,1,1,29265.32,1
798,44,9,95242.14,2,0,0,191501.06,0
892,44,7,166274.3,2,0,0,160607.92,0
691,51,9,61555.45,2,1,1,55501.62,1
718,38,9,163277.15,1,1,0,119768.07,1
588,47,9,193594.75,3,0,0,196554.45,1
678,50,1,17681.64,1,1,0,177418.8,0
789,45,2,158363.57,2,0,1,122155.7,1
530,64,8,117991.18,3,0,1,181226.17,1
340,50,6,96009.19,3,0,1,197891.06,0
327,22,3,84107.16,1,0,0,149953.8,1
434,65,9,156933.65,2,0,1,17672.35,1
500,36,4,127872.27,1,1,1,83308.15,1
332,21,1,161008.93,3,1,0,168376.02,0
347,52,7,180630.21,1,1,1,49960.99,0
802,66,3,123452.74,1,1,1,166975.29,0
706,34,8,196092.55,2,0,0,28466.06,0
873,61,4,121617.57,2,0,0,14154.34,1
398,45,8,127328.86,3,0,0,79897.67,0
846,47,3,110963.12,1,0,1,12162.73,0
761,46,9,18200.42,1,1,1,191667.7,1
304,63,4,145279.41,1,0,1,166110.11,1
517,23,8,109489.26,3,0,0,161150.09,1
802,52,7,90182.09,3,1,0,127806.69,0
697,58,2,182094.26,2,1,1,47183.18,0
692,54,0,59591.89,2,1,1,106060.77,0
506,41,2,104720.46,2,1,0,121468.44,1
314,46,3,139528.37,1,0,0,107381.14,1
853,66,1,159294.36,1,0,0,55745.51,0
760,63,0,91869.36,2,1,0,105473.35,1
874,48,6,168418.28,1,0,1,100781.34,1
540,52,7,153783.55,2,0,0,199285.48,1
863,50,6,13247.2,3,0,1,180000.05,0
395,69,4,9172.25,2,1,1,95359.25,1
784,38,0,124161.14,3,0,1,126472.79,1
706,49,6,69482.68,1,1,0,150834.96,0
530,40,6,41826.16,2,0,0,11798.71,0
470,50,8,115929.99,1,0,0,179509.68,1
840,20,2,68312.64,3,0,0,172724.73,1
335,35,8,107452.68,3,1,1,94199.26,0
824,42,0,92023.83,3,0,0,81278.1,0
459,59,0,116953.22,1,1,0,58227.08,1
542,48,3,80060.1,1,1,1,97951.98,1
385,20,8,139533.51,1,1,0,13653.45,1
877,57,5,36013.45,1,0,1,171177.74,1
856,63,2,139300.29,3,0,1,11907.36,0
873,41,0,82332.24,3,0,1,69165.02,1
327,67,3,174863.52,2,0,1,186659.95,1
855,49,8,103047.21,2,1,1,148366.47,0
639,64,2,194622.07,1,1,1,59871.24,1
630,39,8,120387.08,3,1,1,54266.57,0
805,40,6,44769.81,3,0,1,5991.02,1
647,19,3,164358.13,3,1,0,140664.29,1
772,44,2,69016.53,2,0,0,14512.8,0
530,59,9,69523.84,2,1,0,108857.49,0
489,19,4,6360.94,3,0,0,192613.78,1
524,43,4,109743.06,3,0,1,26346.43,1
684,34,2,106884.7,3,1,0,179423.59,1
676,57,8,71198.3,2,1,1,198337.69,0
582,50,3,178843.45,3,1,0,16995.82,1
558,26,4,25749.68,3,1,0,177166.72,0
658,60,3,66019.9,1,0,0,105635.41,0
755,65,4,64316.55,1,1,1,181770.18,1
710,56,6,18458.12,2,1,0,116407.19,0
617,46,8,96229.08,3,1,1,134111.84,1
524,59,6,137556.94,3,0,1,111036.89,1
533,43,4,102331.4,1,0,0,173576.11,1
673,52,9,31395.54,2,1,0,148112.43,1
771,67,9,75457.19,1,0,0,106645.76,1
532,42,6,519.0,1,1,1,174291.36,0
412,41,9,173660.22,1,0,0,52830.68,0
796,30,4,16903.4,1,0,1,35681.43,1
741,24,2,119455.62,3,0,1,36278.02,1
863,53,6,197251.4,3,0,0,70131.73,0
567,62,1,107318.13,1,1,0,51544.56,0
809,37,8,184808.35,2,1,1,186367.62,0
685,18,9,47223.31,2,1,1,25637.65,0
686,25,9,151991.08,2,0,1,141303.19,1
412,63,0,106253.15,2,1,0,41898.2,1
380,33,5,144103.21,1,1,1,176919.24,0
412,31,6,12468.27,3,1,0,192456.48,1
301,29,7,29547.82,2,0,1,95766.65,0
519,68,9,26623.39,1,0,1,176418.94,1
865,40,8,137433.1,2,0,0,6003.31,0
524,32,1,168888.13,2,1,1,164889.65,1
684,45,9,149923.25,1,1,0,49581.91,0
702,51,1,6094.43,3,1,0,182196.76,0
429,19,4,173443.0,3,0,1,5218.42,1
352,49,4,70829.33,1,0,0,113455.44,0
715,40,5,79432.77,3,1,0,152543.98,1
546,39,2,20973.83,1,0,1,55444.22,1
738,68,7,147481.04,1,0,0,42660.91,0
502,42,0,36456.78,1,0,0,21399.15,1
483,39,5,112793.02,3,0,0,68654.55,1
422,39,3,168142.0,1,1,1,114169.64,1
700,66,0,17840.87,2,0,0,27589.55,1
593,69,6,107067.11,3,0,1,78455.6,1
579,59,8,46643.28,3,0,1,6769.12,0
497,23,3,68585.37,3,0,0,164642.49,1
810,32,3,94793.99,3,1,0,30047.5,1
443,60,5,71020.86,2,1,0,60251.87,1
500,54,2,129764.57,3,0,1,8593.41,1
